Keys,en,es,ja
GREET,"Hello, {name}","Hola, amigo!",?????
ASK,How are you?,Cómo está?,?????
BYE,Goodbye,Adiós,?????
QUOTE,"""Hello"" said the man.","""Hola"" dijo el hombre.",??????????????
STARTLOCATION1,"There was an ominous chill in the air in the deep, a last strike by winter before it gave away to the nearing spring. It seeped through the cottage, but the roaring fireplace and the warmth of the company of your adopted family around you kept it all at bay.","Hola, amigo!",
STARTLOCATION2,"Today was your 19th birthday. You were old enough to officially make your own way, at least by your parent's will. Your <parent> peers at you now, a warmth in their gaze as they peer upon you.",Cómo está?,
STARTDIALOGUE1,"Make one wish of me, <PRO_FIRST>. It's your birthday, after all. Perhaps I can make it come true.",Adiós,
STARTRESPONSE1,"A weapon, so I can be safe when I make my journey.","""Hola"" dijo el hombre.",
STARTRESPONSE2,"Gold, so I can fund my journey.","Hola, amigo!",
STARTRESPONSE3,"The knowledge of magic, so I can have power.",Cómo está?,
STARTRESPONSE4,I wish for love.,Adiós,
STARTRESPONSE5,There is nothing I could ask for that you can grant.,"""Hola"" dijo el hombre.",
STARTLOCATION3,"""And a weapon you shall have. Go upstairs into my room. You will find a surprise on the bed for you.""","Hola, amigo!",
STARTGOUP1,Go upstairs,Cómo está?,
STARTMEETSIBLING,"As you go upstairs, you run into person.",Adiós,
STARTUPROOM,"You enter your <parent>'s room, and search for their promised gift to you.","""Hola"" dijo el hombre.",
STARTGETWEAPON1,"On the bed you find a crossbow. It doesn't look like your fathers, and is accompanied by a quiver that holds more than enough bolts for your travel. You collect them and put them in your inventory.","Hola, amigo!",
STARTGETWEAPON2,"On the bed you find a sword. It does't have the wear of tear of your father's blade, and seems to be recently made. It glistens in your hand as you hold it. You find a scabbard next to it, and sheath it for the time being.",Cómo está?,
STARTCOMMOTION1,"Suddenly you hear the door slam open, and a voice shouting. Glass shatters on the ground, and you hear your <parent>'s voice raise.",Adiós,
STARTCOMMOTION2,Go downstairs and check it out.,"""Hola"" dijo el hombre.",
STARTCOMMOTION3,Stay in the room and prepare for danger.,"Hola, amigo!",
STARTAMBUSH1A,"As soon as you try to go down the stairs, a man with a dagger ascends up and looks at you with a grin.",Cómo está?,
STARTAMBUSH1B,"As soon as you take a few steps back further in the bedroom, a man with a dagger enters and looks at you with a grin.",Adiós,
STARTENEMYENTER,"Sorry, kid, but I have a bounty to collect. Nothing personal.","""Hola"" dijo el hombre.",
STARTCOMPANIONENTER,Something about an ambush.,"Hola, amigo!",
STARTCOMPANIONGREET1,Sibling line,Cómo está?,
STARTCOMPANIONGREET2,Friend line,Adiós,
STARTBATTLE1,Battleline,"""Hola"" dijo el hombre.",
STARTPOSTBATTLE1,And we are here,"Hola, amigo!",
STARTDEFEAT,DEATH IS NOT YOUR FATE,Cómo está?,
STARTORIGIN,Select an origin for your character. Each origin influences your starting race and place in the story.,Adiós,
BUTTONPROCEED,Proceed,"""Hola"" dijo el hombre.",
OriginSpringDescription,"You grew up as a member of the mystical fey house of Tyne in the Kingdom of Spring. To ease tensions with the Kingdom of Summer and prevent war, an arranged marriage is proposed, and you are their offering. You know in no uncertain terms that if anything goes amiss, it means war.","Hola, amigo!",
OriginSpringRaces,"You are of the Archfey Race, a fairy that is only slightly shorter than elves and humans and very proficient in magic. With an elven companion, your party's spellcraft can be potent.",Cómo está?,
OriginSummerDescription,"As heir to all four kingdoms, House Hart prepares for your betrothed's arrival. But what was seen as the merger of two powerful families, human and fey, can easily turn into grounds for bloodshed.",Adiós,
OriginSummerRaces,"You are of the common human race, stronger and more adaptable than the other races of the realm. With an archfey companion, your party is of balanced makeup.","""Hola"" dijo el hombre.",
OriginAutumnDescription,"As a bastard of House Eadric with a mother of the beast race known as Katari, your lot in life was barely better than an errand slave for the Fall Kingdom were it not for human companionship that pitied you. But after overhearing a dangerous plot on the night of a royal wedding, your life is over as you know it.","Hola, amigo!",
OriginAutumnRaces,"The Katari are a beast race known for their physical attributes that has tragically made them prized slaves. Accompanied by a human, your party has great potential as warriors.",Cómo está?,
OriginWinterDescription,"Orphaned and with no recollection of you parents, you are an elf soldier in the honorable ranks of the Rocs of the Winter Kingdom. As the orc invasions grow more fierce, you and a fellow Katari soldier are sent to hurry to the capital, to warn the emperor of the coming storm that will engulf the four kingdoms in chaos.",Adiós,
OriginWinterRaces,"As an elf, you have grace and talent for magic. With a more physically oriented Katari companion, your party can cover every need you may have.","""Hola"" dijo el hombre.",
OriginNewGame+,"As leader of all four kingdoms, it is you alone who must lead your people's survival against the unending rampage of the orcs. They know no surrender, no mercy. Defeat means utter extermination.","Hola, amigo!",
OriginNewGame+Races,"You may play as any race, and may select any race for your companion.",Cómo está?,
